created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Thu Jan 11 19:30:31 +0000 2024;"1,74553E+18";"Yuk, pilih Calon Presiden RI Ganjar Pranowo jadi Presiden Republik Indonesia di Pilpres 2024. #JNK #JNK #GanjarMahfudRebound #GanjarPranowoPilihanUmat #JNKGanjarRI1GanjarRI1 https://t.co/TH8gxRWox2";0;0;0;0;in;333104659;"1,74553E+18";Thick_Mike9;https://twitter.com/Thick_Mike9/status/1745528635199455342
Thu Jan 11 19:25:12 +0000 2024;"1,74553E+18";"Yuk, pilih Calon Presiden RI Ganjar Pranowo jadi Presiden Republik Indonesia di Pilpres 2024. #JNK #JNK #GanjarMahfudRebound #GanjarPranowoPilihanUmat #JNKGanjarRI1GanjarRI1 https://t.co/DLFhI6SQPJ";0;0;0;0;in;333501498;"1,74553E+18";wilson_shelly;https://twitter.com/wilson_shelly/status/1745527295660478763
Thu Jan 11 19:20:15 +0000 2024;"1,74553E+18";"Yuk, pilih Calon Presiden RI Ganjar Pranowo jadi Presiden Republik Indonesia di Pilpres 2024. #JNK #JNK #GanjarMahfudRebound #GanjarPranowoPilihanUmat #JNKGanjarRI1GanjarRI1 https://t.co/jO8XwfnsDi";0;0;0;0;in;333523975;"1,74553E+18";LadiiGotDoah303;https://twitter.com/LadiiGotDoah303/status/1745526051969651063
Thu Jan 11 15:19:46 +0000 2024;"1,74547E+18";Tidak penting survey kami tetap pilih prabowo sebagai presiden RI pilpres thn 2024;0;0;0;0;in;"1,57153E+18";"1,74547E+18";DamrilMukti4;https://twitter.com/DamrilMukti4/status/1745465530038026316
Thu Jan 11 14:30:12 +0000 2024;"1,74545E+18";"@seruanhl @ganjarpranowo Pilpres tahun 2024 kita harus pilih presiden yang membawa perubahan,kami yakin pak ganjar pranowo pasti menang #LanjutGANsemuamurah";0;0;0;0;in;"1,72387E+18";"1,74541E+18";sleepyet4;https://twitter.com/sleepyet4/status/1745453059487285536
Thu Jan 11 14:30:04 +0000 2024;"1,74545E+18";Kaukus Perempuan Nahdliyin di Lampung Dukung Ganjar - Mahfud Menang Pilpres 2024  Jatim Ganjar Pranowo Presiden Pilihanku 2024   #asalbukanprabowo #asalbukan02 Amanda Zahra UNHAS #KebenaranPastiMenang Pak JK #Ancika1995 Fajri Saddil #3GASPOL Tazz https://t.co/frYfNVKxsx;0;0;2;1;in;"1,72208E+18";"1,74545E+18";ressylrs;https://twitter.com/ressylrs/status/1745453024661901499
Thu Jan 11 14:13:37 +0000 2024;"1,74545E+18";@seruanhl @ganjarpranowo Pilpres tahun 2024 pilih presiden yang membawa perubahan contohnya pak ganjar🔥;0;0;0;0;in;"1,72866E+18";"1,74541E+18";sumbuli88;https://twitter.com/sumbuli88/status/1745448884913287319
Thu Jan 11 13:28:36 +0000 2024;"1,74544E+18";"Pertimbangan memilih pasangan pilpres 2024.  *) Memilih pasangan Amin No. 1, itu sama dengan menghancurkan impian Indonesia Jaya 2045.  *) Memilih pasangan Gama No. 3, itu sama dengan memilih boneka Partai, pengalaman pahit presiden Jokowi.  *) Indonesia Jaya, pilih No. 2, Prabu";0;0;0;0;in;1200761647;"1,74544E+18";siswantoramelan;https://twitter.com/siswantoramelan/status/1745437555569627404
Thu Jan 11 09:52:11 +0000 2024;"1,74538E+18";"Ogah Punya Presiden Tantrum, Kakak Menpora Dito Ariotedjo Diduga Tak akan Pilih Prabowo di Pilpres 2024: Bisa Bayangin... https://t.co/ufJisnQmxu";0;0;0;0;in;"9,59859E+17";"1,74538E+18";Ponorogo_Berkah;https://twitter.com/Ponorogo_Berkah/status/1745383091844288694
Thu Jan 11 09:28:25 +0000 2024;"1,74538E+18";Mari sejanak kita lakukan Pooling Pendapat atau Pengumpulan Pendapat.  Apakah anda yakin Presiden Jokowi NETRAL pada Pilpres 2024 ?  1. TIDAK YAKIN pilih Reetwet 2. YAKIN pilih Like https://t.co/OU0Uv8LLEY;0;7;117;4;in;536083521;"1,74538E+18";AndiDarwis71;https://twitter.com/AndiDarwis71/status/1745377111291089365
