"created_at","id_str","full_text","quote_count","reply_count","retweet_count","favorite_count","lang","user_id_str","conversation_id_str","username","tweet_url","image_url","location"
"Fri Jan 19 16:30:17 +0000 2024","1748382379356610874","Aku bukan pion-pion catur 🎶 Aku nggak suka diatur-atur Jangan coba halangi aku 🎶 Karna aku Generasi Biru  Aku nggak mau di rekayasa Aku ingin berfikir merdeka Jangan coba-coba untuk memaksa Karna aku Generasi Biru  Slank Deklarasi Dukung Ganjar-Mahfud  https://t.co/QyUdH6al52","8","21","141","596","in","1180541549643304960","1748382379356610874","DavidWijaya82","https://twitter.com/DavidWijaya82/status/1748382379356610874","",""
"Sat Jan 20 06:15:04 +0000 2024","1748589942962528544","Hari paling membahagiakan. Selama tiga kali pilpres 2014  2019 dan hari ini 2024 satu barisan lagi dengan kesayangan @slankdotcom dukung @ganjarpranowo.  Terima kasih Slank  selama tiga pilpres sudah konsisten untuk tidak pilih Prabowo.  #GanjarMahfud2024 https://t.co/rKEbDvJGpy","0","4","33","244","in","714681332710957058","1748589942962528544","nety_rusi","https://twitter.com/nety_rusi/status/1748589942962528544","https://pbs.twimg.com/ext_tw_video_thumb/1748589921655484416/pu/img/sf9i1449TY6h5R0e.jpg",""
"Tue Jan 23 17:20:14 +0000 2024","1749844500778713115","Kalo lo mau yang beda Pilih Ganjar Pranowo MahfudMD di Pilpres 14 Feb 2024. Pastiin Indonesia makin unggul dan maju!ABBc"1-Bh #JNK #GanjarMahfudRebound #GanjarPranowoPilihanUmat https://t.co/yqPBz3GdFb","0","0","0","0","in","1733864816530636800","1749844500778713115","antosimbolon26","https://twitter.com/antosimbolon26/status/1749844500778713115","https://pbs.twimg.com/media/GDsDr5lawAArsWG.jpg",""
"Tue Jan 23 17:55:13 +0000 2024","1749853306921349402","ABB-"" Kalo lo mau yang beda Pilih Ganjar Pranowo MahfudMD di Pilpres 14 Feb 2024. Pastiin Indonesia makin unggul dan maju!#JNK #GanjarMahfudRebound #GanjarPranowoPilihanUmat https://t.co/yk9OGFZISo","0","0","0","0","in","333501498","1749853306921349402","wilson_shelly","https://twitter.com/wilson_shelly/status/1749853306921349402","https://pbs.twimg.com/media/GDsDr5lawAArsWG.jpg",""
"Tue Jan 23 18:40:13 +0000 2024","1749864631470809491","Ganjar Pranowo Mahfud MD  pemimpin yang selalu dengerin suara rakyat. Pilih mereka di Pilpres 2024 untuk Indonesia yang lebih baik.ORc23-Ai #JNK #GanjarMahfudRebound #GanjarPranowoPilihanUmat #TabrakProf https://t.co/jroQdlt2WY","0","0","0","1","in","1720440854949560321","1749864631470809491","CallanderT48433","https://twitter.com/CallanderT48433/status/1749864631470809491","https://pbs.twimg.com/media/GDsDr5lawAArsWG.jpg",""
"Tue Jan 23 17:40:12 +0000 2024","1749849526691668142","Kalo lo mau yang beda Pilih Ganjar Pranowo MahfudMD di Pilpres 14 Feb 2024. Pastiin Indonesia makin unggul dan maju!ABBc"1-Bd #JNK #GanjarMahfudRebound #GanjarPranowoPilihanUmat https://t.co/0RwTzgLMsj","0","0","0","0","in","333104659","1749849526691668142","Thick_Mike9","https://twitter.com/Thick_Mike9/status/1749849526691668142","https://pbs.twimg.com/media/GDsDr5lawAArsWG.jpg","jakarta"
"Tue Jan 23 17:02:08 +0000 2024","1749839946959982913","Pemimpin yang kekinian dan tahu apa yang dibutuhin rakyat.Pilih Ganjar Pranowo MahfudMD di Pilpres 14 Feb 2024  jangan sampai ketinggalan!RJNx"iBq #JNK #GanjarMahfudRebound #GanjarPranowoPilihanUmat https://t.co/zVQXacASxI","0","0","0","0","in","333605468","1749839946959982913","AngelBadBitch","https://twitter.com/AngelBadBitch/status/1749839946959982913","https://pbs.twimg.com/media/GDP2uKQaAAA8HpF.jpg",""
"Tue Jan 23 19:15:18 +0000 2024","1749873461323878706","Pemimpin yang merakyat  ramah  dan punya visi  itu Ganjar Pranowo Mahfud MD. Pilih mereka di Pilpres 2024.ORc23- #JNK #GanjarMahfudRebound #GanjarPranowoPilihanUmat #TabrakProf https://t.co/IHj3piSyQH","0","0","0","0","in","1737764282157162496","1749873461323878706","brock_pere98471","https://twitter.com/brock_pere98471/status/1749873461323878706","https://pbs.twimg.com/media/GDsDv0QbYAAEhIW.jpg",""
"Tue Jan 23 19:15:18 +0000 2024","1749873457678971116","Pemimpin yang merakyat  ramah  dan punya visi  itu Ganjar Pranowo Mahfud MD. Pilih mereka di Pilpres 2024.ORc23- #JNK #GanjarMahfudRebound #GanjarPranowoPilihanUmat #TabrakProf https://t.co/uTkhdNHUKi","0","0","0","0","in","1720440620953620480","1749873457678971116","gioia97867","https://twitter.com/gioia97867/status/1749873457678971116","https://pbs.twimg.com/media/GDsDv0QbYAAEhIW.jpg",""
"Tue Jan 23 06:23:17 +0000 2024","1749679173894074504","Slank resmi dukung Ganjar-Mahfud pada Pilpres 2024 😎🤟🤟🤟 . IPK 2 3 | Han Sohee | Mitoma | Greenflation | Tom Lembong | RAWR | Luker | Mahfud | Motaz | Gopay Later | THE BOYZ | STRAY KIDS | yang muda kritis | Traveloka | Naruto https://t.co/8hi7VXOzsa","0","2","8","16","in","1638384707183443968","1749679173894074504","DarianiPus116","https://twitter.com/DarianiPus116/status/1749679173894074504","https://pbs.twimg.com/ext_tw_video_thumb/1749679111260512256/pu/img/7qH1ZF9lzGP_XBe9.jpg",""
